code,turnover20,last_close,days
8160,242064360.0,2412.0,734
6282,331882225.0,2936.0,734
2736,4448715.0,599.0,734
7483,174771350.0,3120.0,734
153A,148340530.0,1694.0,607
1960,23982945.0,1665.0,734
4572,49121010.0,449.0,734
3402,4906724717.5,1248.0,734
3920,1583460.0,999.0,734
3662,78910495.0,937.0,734
9895,864455.0,1285.0,734
4369,1797279395.0,2925.0,734
6495,34695270.0,110.0,734
4293,201260260.0,506.0,734
7867,2308280455.0,4040.0,734
4023,1225104000.0,4160.0,734
9253,628255.0,758.0,734
9052,120529030.0,2007.0,734
6063,1522155.0,1008.0,734
2449,20410400.0,1061.0,734
1911,5343626980.0,1226.5,734
2733,242504775.0,2705.0,734
4324,3475666700.0,3591.0,734
6941,2072317350.0,8020.0,734
5026,16837945.0,577.0,734
9165,10257970.0,1770.0,734
1926,467589375.0,3925.0,734
3280,8811280.0,935.0,734
6626,29349840.0,2376.0,734
6042,2130675.0,3875.0,734
8202,6754020.0,149.0,734
8217,55787445.0,804.0,734
1807,1676345.0,1934.0,734
6858,31331290.0,834.0,734
6400,4744915.0,298.0,734
3807,26818750.0,90.0,734
7717,853108450.0,5840.0,734
6547,97899090.0,2144.0,734
205A,40447330.0,1683.0,544
3046,1686547300.0,5910.0,734
9020,9675124745.0,3460.0,734
4091,3158693745.0,5491.0,734
1966,3696510.0,1741.0,734
4635,63276960.0,2045.0,734
6557,13049005.0,712.0,734
8737,18458085.0,617.0,734
3431,114348410.0,1568.0,734
3151,120554790.0,1632.0,734
4521,402689900.0,3980.0,734
3023,45642195.0,2082.0,734
9244,8732580.0,1447.0,734
8995,936292365.0,1939.0,734
2437,48316785.0,620.0,734
2338,52860255.0,115.0,734
2117,63535570.0,2855.0,734
9997,257398465.0,1080.0,734
2502,9538290410.0,1610.0,734
4490,6565605.0,657.0,734
4391,3793215.0,1125.0,734
7760,144249610.0,2060.0,734
4074,3243825.0,776.0,734
6929,346700750.0,3650.0,734
9023,2403610702.5,1559.5,466
7615,64554945.0,99.0,734
7458,569430717.5,1882.0,734
7734,289027525.0,3510.0,734
5724,684313100.0,3280.0,734
4766,2008030.0,205.0,734
9678,498435450.0,5450.0,734
5367,222197075.0,1450.0,734
4370,119839450.0,429.0,734
3557,5092220.0,506.0,734
464A,2265585655.0,1775.0,681
2933,69154370.0,1127.0,734
6183,382687375.0,1367.0,734
7746,431585895.0,811.0,734
5698,112982465.0,746.0,734
4882,167567735.0,182.0,734
4004,28359076525.0,13895.0,734
8001,37656286272.5,2306.5,734
1959,1372087095.0,8087.0,734
1444,3718635.0,2731.0,734
1332,2102427227.5,1163.0,734
4120,1923025.0,2910.0,734
3297,1543985.0,1179.0,734
6195,4207660.0,205.0,734
9436,559276325.0,4450.0,734
544A,115509275.0,327.0,116
1417,723335565.0,3591.0,734
3653,2652169100.0,1099.0,734
3937,79154970.0,1172.0,734
7299,7514650.0,1800.0,734
3469,2926785.0,884.0,734
3202,3707490.0,131.0,734
5184,45323750.0,4130.0,734
9890,14168570.0,1473.0,734
4461,2274843950.0,13090.0,734
5458,6579895.0,1354.0,734
7610,67925570.0,136.0,734
5586,55853740.0,916.0,734
336A,11462337555.0,1360.0,364
8011,271621915.7977295,1368.0,734
6089,53430630.0,1176.0,734
7208,2364930.0,1290.0,734
6289,146024240.0,1938.0,734
6455,178873845.0,2530.0,734
7500,2267150.0,10100.0,734
4395,47195215.0,567.0,734
4187,480029525.0,4100.0,734
7751,13578162425.0,4503.0,734
6430,109398680.0,2468.0,734
5025,469810.0,584.0,734
7919,2374205.0,223.0,734
483A,3367745.0,2169.0,181
2130,56803590.0,925.0,734
9767,2393155.0,1732.0,734
3904,4427010.0,423.0,734
3277,15055355.0,829.0,734
2673,9595765.0,106.0,734
4255,14725900.0,3565.0,734
6777,2032143450.0,21050.0,734
7172,292616580.0,2138.0,734
3940,30876490.0,136.0,734
8117,1221651360.0,2188.0,734
8927,44817745.0,500.0,734
8522,823779100.0,7220.0,734
7241,342056410.0,1108.0,734
3153,278446635.0,3265.0,734
5582,42496890.0,2046.0,734
7986,814135.0,1914.0,734
2982,89315400.0,431.0,734
2726,1230655105.0,1486.0,734
3293,2328505.0,764.0,734
6254,1486127875.0,3300.0,734
3388,58726085.0,2127.0,734
3950,141819990.0,1466.0,734
3465,545760400.0,3260.0,734
5255,23901635.0,78.0,734
8053,19090177715.0,1796.0,734
4082,4557322750.0,2448.0,734
1848,17220090.0,810.0,734
6190,2589410.0,306.0,734
6513,34268625.0,1283.0,734
4222,320858915.0,674.0,734
1887,125612285.0,550.0,734
4356,1019290.0,1609.0,734
9991,60919370.0,1827.0,734
4558,2512470.0,200.0,734
6227,5895577200.0,6170.0,734
6566,1575420.0,1269.0,734
2897,3630649980.0,2943.5,734
9536,460094455.0,2662.0,734
7012,27861713347.5,2404.5,734
3011,2216825.0,142.0,734
4360,10687025.0,992.0,734
1847,83071625.0,3430.0,734
4901,12942334465.0,3324.0,734
7914,108487135.0,1774.0,734
6995,386054050.0,3205.0,734
138A,3996975.0,3070.0,626
2304,4096765.0,909.0,734
9885,2059430.0,335.0,734
9769,32548100.0,2601.0,734
3106,298783250.0,11320.0,734
4389,6801795.0,1058.0,734
6418,154993405.0,1260.0,734
3758,4909000.0,251.0,734
2376,1846620.0,798.0,734
9980,8777255.0,94.0,734
7050,24292485.0,1560.0,734
5038,98806465.0,2110.0,734
3179,112154980.0,1260.0,734
2927,25497575.0,854.0,734
6806,3655268925.0,24495.0,734
9264,47880375.0,1624.0,734
3996,11491905.0,214.0,734
3093,335400060.0,1920.0,734
4167,5783925.0,345.0,734
2815,442752000.0,5250.0,734
7793,2257635.0,1614.0,734
7726,10430825.0,1401.0,734
3494,2490615.0,451.0,734
9130,592048985.0,1799.0,734
6338,17729370.0,1647.0,734
9268,77928275.0,404.0,734
9956,589704400.0,3385.0,734
5884,10114370.0,605.0,734
7741,26495748250.0,22605.0,734
7284,1020540.0,1174.0,734
2003,33298445.0,1916.0,734
3834,31038470.0,608.0,734
4169,140935755.0,254.0,734
3067,4044135.0,465.0,734
9704,9546130.0,28.0,734
7928,3725555.0,615.0,734
7822,7613745.0,258.0,734
141A,2406836225.0,3650.0,612
4462,80914920.0,2802.0,734
7399,1796920.0,618.0,734
3799,4831855.0,1144.0,734
2594,151086325.0,2008.0,734
9324,232895500.0,2684.0,734
8714,811053940.0,1102.0,734
7477,989440.0,1586.0,734
9025,232547610.0,2965.0,734
6159,5914725.0,1990.0,734
8006,3921450.0,1472.0,734
407A,14773230.0,932.0,240
1793,6332065.0,2121.0,734
4650,850130.0,270.0,734
3040,230447935.0,2499.0,734
2670,1501757452.5,2684.0,734
332A,67391620.0,1234.0,368
4092,663506050.0,5760.0,734
3397,1337789400.0,4451.0,734
5570,11397140.0,619.0,734
4063,35608300650.0,5844.0,734
2311,6362635.0,788.0,734
9351,5444350.0,1924.0,734
4487,752450.0,229.0,734
6634,13512830.0,68.0,734
3571,3462690.0,723.0,734
4840,396538560.0,709.0,734
7603,38938740.0,34.0,734
6454,518374605.0,1929.0,734
5901,1404715960.0,4536.0,734
6287,283899120.0,2655.0,734
4418,261583870.0,1181.0,734
3538,10538770.0,1034.0,734
3989,861833525.0,1545.0,734
1942,3918395010.0,5543.0,734
2929,219596490.0,730.0,734
6279,15698575.0,935.0,734
9934,669375077.5,3097.0,734
6563,11491520.0,453.0,734
7677,522960.0,2817.0,734
338A,2441731730.0,3420.0,363
7552,635411475.0,4075.0,734
5210,82461305.0,2883.0,734
5602,505298745.0,1584.0,734
7189,2052043100.0,4964.0,734
6568,4084085.0,1221.0,734
9404,1449234247.5,3009.0,734
4445,3669280.0,1940.0,734
8132,65399100.0,7570.0,734
6654,11046425.0,1080.0,734
6754,2772393980.0,3213.0,734
3645,49147270.0,256.0,734
6508,2954866050.0,10930.0,734
5906,3297430.0,772.0,734
6016,1471365450.0,12510.0,734
6869,4782102055.0,1859.5,734
6071,236146120.0,912.0,734
4447,5741020.0,499.0,734
3237,24179525.0,94.0,734
7844,83519730.0,538.0,734
3923,1823248455.0,1082.0,734
5726,1886380665.0,2422.0,734
3841,3214400.0,1349.0,734
6316,30383050.0,3005.0,734
7877,1314390.0,2194.0,734
7254,3804700.0,820.0,734
417A,432339277.5,1892.5,734
6627,1130171050.0,11660.0,734
1979,901546775.0,3845.0,734
6059,2932165.0,374.0,734
8789,233564845.0,162.0,734
3070,49601105.0,53.0,734
7539,9762480.0,818.0,734
4918,4184150.0,300.0,734
4258,384822300.0,5750.0,734
7127,4596580.0,711.0,734
3420,4912525.0,1562.0,734
3911,27725520.0,172.0,734
9835,1920900.0,509.0,734
9214,1783875.0,1294.0,734
4687,90673135.0,1045.0,734
1867,14544755.0,2729.0,734
4442,12831040.0,404.0,734
335A,17058875.0,329.0,366
3928,2239275.0,240.0,734
7022,22347955.0,364.0,734
7600,258084725.0,670.0,734
3696,214160190.0,2192.0,734
6840,264504380.0,810.0,734
1976,139005235.0,1713.0,734
4058,79571135.0,2357.0,734
5816,25842255.0,1440.0,734
8185,216464410.0,991.0,734
4576,28668030.0,69.0,734
1450,4122480.0,1495.0,734
9539,37679310.0,1366.0,734
9008,1692803396.0610962,780.4000244140625,734
2108,230557900.0,5230.0,734
2477,43188550.0,3380.0,734
1934,348439845.0,2642.0,734
281A,34575765.0,399.0,434
4651,69571185.0,251.0,734
2330,466836070.0,92.0,734
9331,579275.0,692.0,722
7180,1762365400.0,1678.0,734
7380,1112847260.0,2723.0,734
8255,220671185.0,1344.0,734
9250,802795.0,1047.0,734
9564,23862875.0,562.0,734
4754,1175765.0,1500.0,734
3690,6280795.0,574.0,734
6082,23505740.0,996.0,734
3157,3061830.0,1439.0,734
7992,2685750.0,103.0,734
3880,274747915.0,1024.0,734
9171,6653760.0,1499.0,734
4641,78753075.0,879.0,734
9279,650474320.0,2016.0,734
6262,25071890.0,527.0,734
5285,30740850.0,1343.0,734
6853,14119175.0,773.0,734
8630,14358776795.0,6891.0,734
3907,1505578925.0,2070.0,734
8012,1119947540.0,1171.5,734
7837,572500.0,354.0,734
298A,2912435.0,328.0,421
428A,44160300.0,1710.0,232
6291,37990920.0,1333.0,734
1820,687461290.0,5685.0,734
9218,17737990.0,790.0,734
2501,1974775977.5,1848.0,734
4015,12155595.0,521.0,734
4284,15471110.0,451.0,734
5918,873250.0,7900.0,734
6044,9564215.0,1890.0,734
5969,271995.0,1199.0,734
7879,4511715.0,676.0,734
542A,9377185.0,1036.0,116
5018,44486760.0,2399.0,734
2531,1259192925.0,2502.0,734
4425,422024520.0,1454.0,734
6507,1988322400.0,12760.0,734
2820,122482950.0,6500.0,734
5463,1228067292.5,1739.0,734
9347,294237205.0,2985.0,734
1780,39751765.0,1495.0,734
1893,3140767735.0,1582.0,734
8129,454193360.0,3979.0,734
1909,0.0,16280000512.0,730
8046,14888525.0,989.0,734
2892,20518375.0,4870.0,734
7416,1149205.0,685.0,734
7957,12114045.0,2569.0,734
6871,14668090950.0,13390.0,734
6643,22334550.0,5730.0,734
8098,539666925.0,4550.0,734
2378,46700785.0,1052.0,734
4591,74586145.0,80.0,734
2579,2622851155.0,3830.0,734
9622,47962105.0,1444.0,734
7072,5949540.0,1090.0,734
1434,80236830.0,1624.0,734
1801,9813135700.0,12620.0,734
6742,256049495.0,1106.0,734
4829,16891110.0,108.0,734
8551,369111300.0,8530.0,734
7550,5816748550.0,10450.0,734
9158,21267945.0,800.0,734
6330,21914629445.0,2908.0,734
8035,154718547250.0,53110.0,734
4386,3365695.0,898.0,734
4174,394263120.0,1002.0,734
6955,24461860.0,410.0,734
6045,84561995.0,2070.0,734
7079,5396620.0,2588.0,734
4839,65899185.0,1001.0,734
6317,199773445.0,2535.0,734
2872,7830670.0,1924.0,734
5013,137890950.0,3015.0,734
4387,7792790.0,591.0,734
3661,387246665.0,809.0,734
505A,40231180.0,1415.0,139
4433,42881020.0,860.0,734
2220,382224175.0,1318.0,734
442A,3940225.0,760.0,214
5981,176197990.0,1919.0,734
6467,1925145.0,347.0,734
5363,29802905.0,693.0,734
3556,41500485.0,809.0,734
6363,502268915.0,2918.0,734
2212,2463785245.0,3647.0,734
8898,4064490.0,1155.0,734
4884,49324820.0,487.0,734
4616,9837785.0,2471.0,734
3962,168258530.0,1006.0,734
2693,13120830.0,286.0,734
8614,434954800.0,708.0,734
6696,9685085.0,324.0,734
7294,67403290.0,874.0,734
1826,9465065.0,1073.0,734
8508,1416750860.0,771.0,734
2602,528373950.0,2107.0,734
4694,208735175.0,3670.0,734
1435,64407350.0,182.0,734
7033,135134360.0,1596.0,734
4922,1594588305.0,5738.0,734
8999,27141095.0,568.0,734
7272,11578707102.5,1821.0,734
5588,11670585.0,875.0,731
4674,381224895.0,1839.0,734
8600,520948625.0,1183.0,734
9843,11362992830.0,3030.0,734
7564,2621565100.0,5340.0,734
8563,62296070.0,1200.0,734
3659,10275005015.0,3200.0,734
4760,9209075.0,1210.0,734
6309,205344665.0,1987.0,734
8013,1740355.0,376.0,734
6151,25098545.0,1755.0,734
9259,6964925.0,858.0,734
5105,5981996035.0,3804.0,734
8700,6837640.0,2085.0,734
4464,15656850.0,4050.0,734
8016,621516300.0,722.0,734
4678,1326315.0,335.0,734
7173,1882374585.0,1697.0,734
6637,119150550.0,4380.0,734
8107,4612335.0,31.0,734
130A,5567035.0,434.0,639
9166,1115399920.0,690.0,734
4847,122432685.0,1530.0,734
253A,11887230.0,1038.0,734
9076,1000271300.0,2732.5,734
3232,207013665.0,610.0,734
4725,79395940.0,1914.0,734
2805,672033600.0,7930.0,734
7226,493231770.0,2312.0,734
5261,23578200.0,7680.0,734
6663,5010745.0,306.0,734
8704,128277865.0,1408.0,734
3405,2877044957.5,1763.0,734
2975,247397410.0,1422.0,734
3826,9555595.0,504.0,734
3823,265524690.0,42.0,734
3909,2110500.0,194.0,734
3903,194717600.0,197.0,734
4592,905024890.0,948.0,734
5702,479946075.0,1809.0,734
7725,132414545.0,1779.0,734
2587,4308404070.0,4513.0,734
7804,6261415.0,2405.0,734
7938,4898360.0,2126.0,734
6349,270358715.0,2000.0,734
4801,36466620.0,2416.0,734
9903,2654190.0,891.0,734
2485,15021050.0,451.0,734
6166,94962845.0,659.0,734
1720,340633510.0,1241.0,734
6269,5857810645.0,9255.0,734
2334,560726680.0,588.0,734
2923,29148150.0,7470.0,734
5563,236439615.0,439.0,734
8944,9820590.0,257.0,734
2784,959874500.0,2353.0,734
6184,99321325.0,614.0,734
7376,58323960.0,790.0,734
7514,7853365.0,852.0,734
6323,4747368325.0,3565.0,734
3195,39210680.0,458.0,734
9686,4837600.0,1729.0,734
6619,343817660.0,150.0,734
9856,50403805.0,1231.0,734
8002,22895774515.0,4976.0,734
9640,9082675.0,1989.0,734
1860,1216526542.5,1518.5,734
5491,32136895.0,911.0,734
5446,26118840.0,1088.0,734
2342,12252150.0,256.0,734
3374,106061175.0,4080.0,734
9081,55260550.0,4065.0,734
4985,234787100.0,4745.0,734
7363,21178165.0,1649.0,734
8337,440347660.0,2701.0,734
5589,9065370.0,2899.0,729
8938,1638455.0,319.0,734
3143,9394935.0,714.0,734
7322,901163265.0,2087.0,734
2370,10117180.0,25.0,734
6240,137670160.0,520.0,734
6337,134468525.0,3460.0,734
7794,392854200.0,996.0,734
2735,50006110.0,720.0,734
7987,25679170.0,570.0,734
6322,1970385.0,1602.0,734
6367,21968251300.0,20740.0,734
6524,1265608275.0,5020.0,734
8118,1268755.0,1171.0,734
6054,2791150.0,110.0,734
8018,28712540.0,863.0,734
2593,1600074215.0,3165.0,734
5819,6665660.0,1750.0,734
6436,931942210.0,3871.0,734
7776,34050530.0,229.0,734
6346,935150.0,5580.0,734
2980,600417630.0,2351.0,734
7515,897500.0,4585.0,734
8242,1054258557.5,2833.0,734
7366,190137905.0,1886.0,734
7069,10428470.0,499.0,734
7343,4891200.0,1330.0,734
9127,17154825.0,3760.0,734
1813,188320750.0,3055.0,734
7296,520950850.0,4200.0,734
4476,20552445.0,1085.0,734
7148,826092195.0,1727.0,734
6899,11153555.0,2296.0,734
6757,3294815.0,905.0,734
4008,246582910.0,1507.0,734
6208,636650225.0,1820.0,734
4565,1497245155.0,1299.0,734
4452,9469622540.0,3478.0,734
7980,20896480.0,877.0,734
2937,4156235.0,1766.0,734
4413,1228631835.0,2964.0,734
7972,405223850.0,2492.0,734
9213,4769415.0,1037.0,734
7962,19632555.0,802.0,734
479A,130903640.0,2255.0,180
4937,13831000.0,2398.0,734
4598,426365580.0,114.0,734
9364,1341246915.0,4872.0,734
3454,4449970.0,1253.0,734
6081,199194050.0,145.0,734
2305,94931150.0,1873.0,734
2676,32325045.0,2072.0,734
9313,1337545.0,1077.0,734
4301,46676480.0,1879.0,734
4845,14240760.0,350.0,734
7091,21250505.0,1300.0,734
5482,459303125.0,3230.0,734
9706,6892869125.0,5518.0,734
4286,46523185.0,1312.0,734
2910,67376510.0,1421.0,734
6339,176924645.0,1201.0,734
4073,28007570.0,549.0,734
6976,255257059055.0,9375.0,734
206A,17274675.0,169.0,542
5955,61422765.0,82.0,734
9973,13827280.0,20.0,734
3991,4875270.0,942.0,734
9716,386755340.0,1255.0,734
369A,26390730.0,2682.0,302
5032,2240943295.0,3110.0,734
8919,715203475.0,3535.0,734
7462,6132950.0,413.0,734
7119,48131675.0,2114.0,734
3138,2257470.0,1140.0,734
7122,7855415.0,2444.0,734
8309,15310457000.0,1768.5,734
4544,772356215.0,3623.0,734
1376,20337260.0,1603.0,734
262A,389694835.0,1741.0,469
4403,2371743227.5,2588.5,734
1852,353316325.0,908.0,734
7624,8794895.0,167.0,734
4341,1864150.0,906.0,734
5803,213031904500.0,4952.0,734
6820,55938150.0,3735.0,734
3698,8105320.0,1220.0,734
1972,33806260.0,1312.0,734
9969,1019235.0,236.0,734
1925,8444781540.0,4558.0,734
7183,7360545.0,255.0,734
1938,205088725.0,2615.0,734
3976,29549050.0,575.0,734
4777,4809930.0,199.0,734
7325,4392140.0,695.0,734
3955,3138195.0,865.0,734
3916,73691220.0,943.0,734
3682,3016990.0,584.0,734
9252,41473950.0,4160.0,734
2938,58438460.0,1302.0,728
3817,153755275.0,4775.0,734
5805,4124906300.0,13120.0,734
9993,5801190.0,1158.0,734
303A,1424960.0,567.0,421
9433,24472564957.5,3060.0,734
8929,100301205.0,1388.0,734
299A,281419225.0,1242.0,426
3708,109628210.0,2216.0,734
9345,817680.0,582.0,734
