strategy,variant,code,name,market,entry_date,exit_date,entry,exit,ret,reason,bench,turn20,sample,excess
A,A1_surp10_hold10,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-24,1329.5,1294.5,-0.029325686348251275,time,-0.002362367122424769,5613122502.5,OOS,-0.026963319225826506
A,A2_surp10_react3_hold5,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-17,1329.5,1333.0,-0.00036743136517480585,time,0.05384921980570345,5613122502.5,OOS,-0.05421665117087826
A,A2_surp10_react3_hold10,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-24,1329.5,1294.5,-0.029325686348251275,time,-0.002362367122424769,5613122502.5,OOS,-0.026963319225826506
A,A2_surp10_react3_stop5_hold10,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-20,1329.5,1302.0,-0.02368446784505451,stop,0.008122789090684535,5613122502.5,OOS,-0.03180725693573905
A,A2_surp10_react3_stop5_hold20,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-20,1329.5,1302.0,-0.02368446784505451,stop,0.008122789090684535,5613122502.5,OOS,-0.03180725693573905
A,A3_react5_any_hold10,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-24,1329.5,1294.5,-0.029325686348251275,time,-0.002362367122424769,5613122502.5,OOS,-0.026963319225826506
A,A3_react5_any_stop5_hold20,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-20,1329.5,1302.0,-0.02368446784505451,stop,0.008122789090684535,5613122502.5,OOS,-0.03180725693573905
A,A5_react8_any_hold10,3402,東レ,プライム（内国株式）,2026-08-07,2026-08-24,1329.5,1294.5,-0.029325686348251275,time,-0.002362367122424769,5613122502.5,OOS,-0.026963319225826506
A,A1_surp10_hold10,3402,東レ,プライム（内国株式）,2026-05-14,2026-05-28,1169.0,1133.0,-0.03379555175363558,time,0.02245873786707464,5729669842.5,OOS,-0.05625428962071022
A,A3_react5_any_hold10,3402,東レ,プライム（内国株式）,2025-11-17,2025-12-02,1016.7982393152574,992.0224609375,-0.027366464672915033,time,-0.021301229056933102,4942506069.681702,OOS,-0.006065235615981931
A,A3_react5_any_stop5_hold20,3402,東レ,プライム（内国株式）,2025-11-17,2025-12-08,1016.7982393152574,972.2017931776244,-0.046859680724531616,stop,0.004077497023973864,4942506069.681702,OOS,-0.05093717774850548
A,A5_react8_any_hold10,3402,東レ,プライム（内国株式）,2025-11-17,2025-12-02,1016.7982393152574,992.0224609375,-0.027366464672915033,time,-0.021301229056933102,4942506069.681702,OOS,-0.006065235615981931
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),3402,東レ,プライム（内国株式）,2025-08-12,2025-08-26,946.4401167452598,977.5304565429688,0.029849769623699344,time,0.013723370997108741,4563428395.342407,IS,0.016126398626590602
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),3402,東レ,プライム（内国株式）,2025-05-15,2025-05-29,919.6652415473753,986.6515502929688,0.06983770846105497,time,0.007995450373386337,5916419089.788513,IS,0.06184225808766863
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),3402,東レ,プライム（内国株式）,2025-02-13,2025-02-28,994.3555646410176,968.5850219726562,-0.028916828531718505,time,-0.04640727792806343,7138553132.194824,IS,0.017490449396344924
A,A1_surp10_hold10,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-22,931.7281438952399,909.2639770507812,-0.02711021604493302,time,-0.027869966804015323,5376696012.531738,IS,0.000759750759082304
A,A2_surp10_react3_hold5,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-15,931.7281438952399,876.7833251953125,-0.06197086941070784,time,-0.01875250269276596,5376696012.531738,IS,-0.04321836671794188
A,A2_surp10_react3_hold10,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-22,931.7281438952399,909.2639770507812,-0.02711021604493302,time,-0.027869966804015323,5376696012.531738,IS,0.000759750759082304
A,A2_surp10_react3_stop5_hold10,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-22,931.7281438952399,909.2639770507812,-0.02711021604493302,time,-0.027869966804015323,5376696012.531738,IS,0.000759750759082304
A,A2_surp10_react3_stop5_hold20,3402,東レ,プライム（内国株式）,2024-11-08,2024-12-06,931.7281438952399,930.6585083007812,-0.004148012541498322,time,-0.0073699311451379534,5376696012.531738,IS,0.003221918603639631
A,A3_react5_any_hold10,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-22,931.7281438952399,909.2639770507812,-0.02711021604493302,time,-0.027869966804015323,5376696012.531738,IS,0.000759750759082304
A,A3_react5_any_stop5_hold20,3402,東レ,プライム（内国株式）,2024-11-08,2024-12-06,931.7281438952399,930.6585083007812,-0.004148012541498322,time,-0.0073699311451379534,5376696012.531738,IS,0.003221918603639631
A,A5_react8_any_hold10,3402,東レ,プライム（内国株式）,2024-11-08,2024-11-22,931.7281438952399,909.2639770507812,-0.02711021604493302,time,-0.027869966804015323,5376696012.531738,IS,0.000759750759082304
A,A1_surp10_hold10,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-23,704.1300312633058,720.9636840820312,0.020907022952172064,time,0.09332242228410004,4739718740.466919,IS,-0.07241539933192798
A,A2_surp10_react3_hold5,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-16,704.1300312633058,720.8674926757812,0.020770412664328778,time,0.0847273549436971,4739718740.466919,IS,-0.06395694227936832
A,A2_surp10_react3_hold10,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-23,704.1300312633058,720.9636840820312,0.020907022952172064,time,0.09332242228410004,4739718740.466919,IS,-0.07241539933192798
A,A2_surp10_react3_stop5_hold10,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-23,704.1300312633058,720.9636840820312,0.020907022952172064,time,0.09332242228410004,4739718740.466919,IS,-0.07241539933192798
A,A2_surp10_react3_stop5_hold20,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-28,704.1300312633058,703.1679956986328,-0.004366275434875219,stop,0.0935359380550449,4739718740.466919,IS,-0.09790221348992012
A,A3_react5_any_hold10,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-23,704.1300312633058,720.9636840820312,0.020907022952172064,time,0.09332242228410004,4739718740.466919,IS,-0.07241539933192798
A,A3_react5_any_stop5_hold20,3402,東レ,プライム（内国株式）,2024-08-08,2024-08-28,704.1300312633058,703.1679956986328,-0.004366275434875219,stop,0.0935359380550449,4739718740.466919,IS,-0.09790221348992012
A,A3_react5_any_hold10,3402,東レ,プライム（内国株式）,2024-05-14,2024-05-28,737.6050208472711,768.5790405273438,0.0389926909452073,time,0.017703501821475953,5415181703.571777,IS,0.021289189123731345
A,A3_react5_any_stop5_hold20,3402,東レ,プライム（内国株式）,2024-05-14,2024-05-23,737.6050208472711,744.3385113075021,0.006128856596578361,stop,0.024195150738565818,5415181703.571777,IS,-0.018066294141987457
A,A5_react8_any_hold10,3402,東レ,プライム（内国株式）,2024-05-14,2024-05-28,737.6050208472711,768.5790405273438,0.0389926909452073,time,0.017703501821475953,5415181703.571777,IS,0.021289189123731345
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),3402,東レ,プライム（内国株式）,2024-02-13,2024-02-28,655.6523334111811,658.1228637695312,0.0007680493646634616,time,0.06262251554669085,4595006885.358582,IS,-0.06185446618202739
A,A3_react5_any_hold10,4369,トリケミカル研究所,プライム（内国株式）,2024-12-02,2024-12-16,2769.2590013890126,2694.837646484375,-0.029874104179966273,time,0.032701424029797366,956880360.4943848,IS,-0.06257552820976364
A,A3_react5_any_stop5_hold20,4369,トリケミカル研究所,プライム（内国株式）,2024-12-02,2024-12-10,2769.2590013890126,2722.255929859482,-0.019973158345230498,stop,0.03034824975442829,956880360.4943848,IS,-0.05032140809965879
A,A1_surp10_hold10,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-18,3960.9803585737177,3221.66259765625,-0.18965019616095335,time,-0.05996503833539757,1313437114.0100098,IS,-0.12968515782555579
A,A2_surp10_react3_hold5,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-10,3960.9803585737177,3074.7783203125,-0.2267330049726185,time,-0.06567580691770203,1313437114.0100098,IS,-0.16105719805491647
A,A2_surp10_react3_hold10,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-18,3960.9803585737177,3221.66259765625,-0.18965019616095335,time,-0.05996503833539757,1313437114.0100098,IS,-0.12968515782555579
A,A2_surp10_react3_stop5_hold10,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-05,3960.9803585737177,3393.0277946082347,-0.14638686702551418,stop,-0.05280969632567423,1313437114.0100098,IS,-0.09357717069983995
A,A2_surp10_react3_stop5_hold20,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-05,3960.9803585737177,3393.0277946082347,-0.14638686702551418,stop,-0.05280969632567423,1313437114.0100098,IS,-0.09357717069983995
A,A3_react5_any_hold10,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-18,3960.9803585737177,3221.66259765625,-0.18965019616095335,time,-0.05996503833539757,1313437114.0100098,IS,-0.12968515782555579
A,A3_react5_any_stop5_hold20,4369,トリケミカル研究所,プライム（内国株式）,2024-09-03,2024-09-05,3960.9803585737177,3393.0277946082347,-0.14638686702551418,stop,-0.05280969632567423,1313437114.0100098,IS,-0.09357717069983995
A,A3_react5_any_hold10,4369,トリケミカル研究所,プライム（内国株式）,2023-12-04,2023-12-18,3584.135682316502,3506.430908203125,-0.02468019879848826,time,-0.020116686785145,719133562.5524902,IS,-0.004563512013343259
A,A3_react5_any_stop5_hold20,4369,トリケミカル研究所,プライム（内国株式）,2023-12-04,2023-12-11,3584.135682316502,3409.299911956134,-0.051780455277677384,stop,-0.019134968914409578,719133562.5524902,IS,-0.032645486363267806
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),1911,住友林業,プライム（内国株式）,2026-05-11,2026-05-25,1275.3818313066079,1262.1273193359375,-0.013392583338819649,time,0.03897944115284924,5597763679.44519,OOS,-0.05237202449166889
A,A1_surp10_hold10,1911,住友林業,プライム（内国株式）,2026-02-17,2026-03-04,1660.7455108695406,1513.963623046875,-0.0913831308662173,time,-0.045080671119793414,5843943989.317017,OOS,-0.046302459746423885
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),1911,住友林業,プライム（内国株式）,2025-05-01,2025-05-19,1327.4276704971983,1336.59326171875,0.0039047763770953007,time,0.040317234666328305,5585600572.22168,IS,-0.03641245828923301
A,A1_surp10_hold10,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-20,1644.150162797861,1845.5186767578125,0.11947574371022263,time,0.020787684867674683,5836417152.258911,IS,0.09868805884254794
A,A2_surp10_react3_hold5,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-13,1644.150162797861,1811.393798828125,0.09872041448188928,time,-0.002471383138686223,5836417152.258911,IS,0.10119179762057551
A,A2_surp10_react3_hold10,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-20,1644.150162797861,1845.5186767578125,0.11947574371022263,time,0.020787684867674683,5836417152.258911,IS,0.09868805884254794
A,A2_surp10_react3_stop5_hold10,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-20,1644.150162797861,1845.5186767578125,0.11947574371022263,time,0.020787684867674683,5836417152.258911,IS,0.09868805884254794
A,A2_surp10_react3_stop5_hold20,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-24,1644.150162797861,1746.217968648465,0.059079369731603326,stop,0.009720909758845542,5836417152.258911,IS,0.049358459972757784
A,A3_react5_any_hold10,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-20,1644.150162797861,1845.5186767578125,0.11947574371022263,time,0.020787684867674683,5836417152.258911,IS,0.09868805884254794
A,A3_react5_any_stop5_hold20,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-24,1644.150162797861,1746.217968648465,0.059079369731603326,stop,0.009720909758845542,5836417152.258911,IS,0.049358459972757784
A,A5_react8_any_hold10,1911,住友林業,プライム（内国株式）,2024-05-02,2024-05-20,1644.150162797861,1845.5186767578125,0.11947574371022263,time,0.020787684867674683,5836417152.258911,IS,0.09868805884254794
A,A1_surp10_hold10,1911,住友林業,プライム（内国株式）,2024-02-16,2024-03-04,1250.9436946996955,1326.572265625,0.057457214218150754,time,0.051137168059605775,5616320354.333496,IS,0.0063200461585449785
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),1911,住友林業,プライム（内国株式）,2023-11-02,2023-11-17,1025.6107023122058,1136.10302734375,0.10473320206433379,time,0.0627672543555966,4031003416.680908,IS,0.041965947708737183
A,A1_surp10_hold10,4324,電通グループ,プライム（内国株式）,2025-11-18,2025-12-03,3410.0,3441.0,0.006090909090909038,time,-0.009125492580448147,3866425585.0,OOS,0.015216401671357186
A,A2_surp10_react3_hold5,4324,電通グループ,プライム（内国株式）,2025-11-18,2025-11-26,3410.0,3464.0,0.012835777126099738,time,-0.015198338948131385,3866425585.0,OOS,0.028034116074231123
A,A2_surp10_react3_hold10,4324,電通グループ,プライム（内国株式）,2025-11-18,2025-12-03,3410.0,3441.0,0.006090909090909038,time,-0.009125492580448147,3866425585.0,OOS,0.015216401671357186
A,A2_surp10_react3_stop5_hold10,4324,電通グループ,プライム（内国株式）,2025-11-18,2025-12-03,3410.0,3441.0,0.006090909090909038,time,-0.009125492580448147,3866425585.0,OOS,0.015216401671357186
A,A2_surp10_react3_stop5_hold20,4324,電通グループ,プライム（内国株式）,2025-11-18,2025-12-12,3410.0,3268.0,-0.04464222873900292,stop,0.010186820209485026,3866425585.0,OOS,-0.054829048948487946
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),4324,電通グループ,プライム（内国株式）,2025-08-18,2025-09-01,2753.0,3029.0,0.09725426807119508,time,-0.027421989695130433,7158048595.0,IS,0.12467625776632552
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),4324,電通グループ,プライム（内国株式）,2025-02-18,2025-03-05,3097.0,3182.0,0.02444591540200192,time,-0.04482566274402189,4386395700.0,IS,0.0692715781460238
A,A3_react5_any_hold10,4324,電通グループ,プライム（内国株式）,2024-08-16,2024-08-30,4242.420426521274,4396.6005859375,0.03334249883683771,time,0.05230833374104704,5133063902.213135,IS,-0.018965834904209333
A,A3_react5_any_stop5_hold20,4324,電通グループ,プライム（内国株式）,2024-08-16,2024-09-05,4242.420426521274,4182.515859683078,-0.017120374884041608,stop,-0.0018937419831057678,5133063902.213135,IS,-0.01522663290093584
A,A5_react8_any_hold10,4324,電通グループ,プライム（内国株式）,2024-08-16,2024-08-30,4242.420426521274,4396.6005859375,0.03334249883683771,time,0.05230833374104704,5133063902.213135,IS,-0.018965834904209333
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),4324,電通グループ,プライム（内国株式）,2023-11-16,2023-12-01,3815.6654845818484,3740.680908203125,-0.022651768919921707,time,-0.0026309156124727506,3671967726.257324,IS,-0.020020853307448957
A,A1_surp10_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2026-02-13,2026-03-02,3677.2407004003367,4628.763671875,0.25576004564266686,time,0.007241491972071357,393359683.3703613,OOS,0.2485185536705955
A,A2_surp10_react3_hold5,7717,ブイ・テクノロジー,プライム（内国株式）,2026-02-13,2026-02-20,3677.2407004003367,4113.35546875,0.11559837412932594,time,-0.014124616362692355,393359683.3703613,OOS,0.1297229904920183
A,A2_surp10_react3_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2026-02-13,2026-03-02,3677.2407004003367,4628.763671875,0.25576004564266686,time,0.007241491972071357,393359683.3703613,OOS,0.2485185536705955
A,A2_surp10_react3_stop5_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2026-02-13,2026-03-02,3677.2407004003367,4628.763671875,0.25576004564266686,time,0.007241491972071357,393359683.3703613,OOS,0.2485185536705955
A,A2_surp10_react3_stop5_hold20,7717,ブイ・テクノロジー,プライム（内国株式）,2026-02-13,2026-03-05,3677.2407004003367,4361.147979466261,0.1829838217801375,stop,-0.04097480590512248,393359683.3703613,OOS,0.22395862768525998
A,A4_negsurp_react-3_hold10(買い側の値。空売りなら符号反転),7717,ブイ・テクノロジー,プライム（内国株式）,2025-11-14,2025-12-01,2965.5806779139803,2857.54296875,-0.03943054123213907,time,-0.03858183195375309,460290870.06591797,OOS,-0.000848709278385984
A,A1_surp10_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2024-11-13,2024-11-27,2159.532023256015,2165.31396484375,-0.00032259511529841595,time,-0.03151966329503375,103506459.3725586,IS,0.031197068179735336
A,A1_surp10_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-29,2778.463515759005,2865.76513671875,0.028420826821940918,time,0.005235483189941714,167401743.84399414,IS,0.023185343631999204
A,A2_surp10_react3_hold5,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-22,2778.463515759005,2638.970947265625,-0.05320493078357891,time,0.006805781884808626,167401743.84399414,IS,-0.060010712668387534
A,A2_surp10_react3_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-29,2778.463515759005,2865.76513671875,0.028420826821940918,time,0.005235483189941714,167401743.84399414,IS,0.023185343631999204
A,A2_surp10_react3_stop5_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-23,2778.463515759005,2650.3579396320856,-0.049106625262604675,stop,0.019479586371571322,167401743.84399414,IS,-0.068586211634176
A,A2_surp10_react3_stop5_hold20,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-23,2778.463515759005,2650.3579396320856,-0.049106625262604675,stop,0.019479586371571322,167401743.84399414,IS,-0.068586211634176
A,A3_react5_any_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-29,2778.463515759005,2865.76513671875,0.028420826821940918,time,0.005235483189941714,167401743.84399414,IS,0.023185343631999204
A,A3_react5_any_stop5_hold20,7717,ブイ・テクノロジー,プライム（内国株式）,2024-05-15,2024-05-23,2778.463515759005,2650.3579396320856,-0.049106625262604675,stop,0.019479586371571322,167401743.84399414,IS,-0.068586211634176
A,A3_react5_any_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2023-11-14,2023-11-29,2072.176766454646,2477.2353515625,0.19247491877388512,time,0.022590360723624192,146705778.89465332,IS,0.16988455805026093
A,A3_react5_any_stop5_hold20,7717,ブイ・テクノロジー,プライム（内国株式）,2023-11-14,2023-12-11,2072.176766454646,2345.0284658195146,0.12867394972374846,stop,0.0063431245195875174,146705778.89465332,IS,0.12233082520416094
A,A5_react8_any_hold10,7717,ブイ・テクノロジー,プライム（内国株式）,2023-11-14,2023-11-29,2072.176766454646,2477.2353515625,0.19247491877388512,time,0.022590360723624192,146705778.89465332,IS,0.16988455805026093
A,A1_surp10_hold10,3046,ジンズホールディングス,プライム（内国株式）,2026-04-14,2026-04-28,6231.0145763960045,6715.64892578125,0.07477775889356952,time,0.06043405366813803,1257975948.4985352,OOS,0.014343705225431491
A,A2_surp10_react3_hold5,3046,ジンズホールディングス,プライム（内国株式）,2026-04-14,2026-04-21,6231.0145763960045,6310.138671875,0.009698428884876823,time,0.050376333184442235,1257975948.4985352,OOS,-0.040677904299565415
A,A2_surp10_react3_hold10,3046,ジンズホールディングス,プライム（内国株式）,2026-04-14,2026-04-28,6231.0145763960045,6715.64892578125,0.07477775889356952,time,0.06043405366813803,1257975948.4985352,OOS,0.014343705225431491
